"year","id","task","tasktime","trial","onset","event","FixTime","TestSlide","TestSlide.RT","CorrectResp","TestSlide.ACC"
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,4,54.5,"TestSlide",1500,"NovelHLFA011_T3",2006,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,5,59,"Fix",7500,"NovelFBLA004_T3",2573,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,5,66.5,"TestSlide",7500,"NovelFBLA004_T3",2573,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,6,71,"Fix",3000,"Novel60LA022_T2",3308,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,6,74,"TestSlide",3000,"Novel60LA022_T2",3308,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,7,78.5,"Fix",7500,"NovelFBLA011_T1",1951,2,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,7,86,"TestSlide",7500,"NovelFBLA011_T1",1951,2,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,8,90.5,"Fix",7500,"NovelHLFA076_T3",3975,4,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,8,98,"TestSlide",7500,"NovelHLFA076_T3",3975,4,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,9,102.5,"Fix",1500,"Novel60LA040_T2",4453,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,9,104,"TestSlide",1500,"Novel60LA040_T2",4453,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,10,108.5,"Fix",7500,"NovelFBLA022_T3",2993,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,10,116,"TestSlide",7500,"NovelFBLA022_T3",2993,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,11,120.5,"Fix",3000,"Novel60RA049_T2",NA,3,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,11,123.5,"TestSlide",3000,"Novel60RA049_T2",NA,3,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,12,128,"Fix",7500,"Novel30RHSA040_T3",2759,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,12,135.5,"TestSlide",7500,"Novel30RHSA040_T3",2759,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,13,140,"Fix",7500,"NovelHLFA022_T3",2513,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,13,147.5,"TestSlide",7500,"NovelHLFA022_T3",2513,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,14,152,"Fix",4500,"NovelFBLA049_T2",3539,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,14,156.5,"TestSlide",4500,"NovelFBLA049_T2",3539,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,15,161,"Fix",4500,"Novel60RA076_T2",3828,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,15,165.5,"TestSlide",4500,"Novel60RA076_T2",3828,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,16,170,"Fix",7500,"Novel30RHSA011_T2",2493,3,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,16,177.5,"TestSlide",7500,"Novel30RHSA011_T2",2493,3,1
